artwork_id,artist_id,artist_name,title,year,technique,inventory_number,image_width_cm,image_height_cm,frame_width_cm,frame_height_cm,is_available,loaned_until,thumbnail_url,full_image_url,first_seen_at,last_seen_at,last_updated_at
11006,1120,Peter Makowetz,ohne Titel,1987,Acryl/Leinwand,7303,99.5,69.5,,,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=11006&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=11006,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
974,689,Herwig Berger,ohne Titel,2006,"Mischtechnik, Kreide, Tempera/Papier",325,50,32,67,52,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=974&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=974,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
4232,587,Walter Kainz,Blüten/Blüten II (Diptychon),1998,"Öl, Acryl, Asche/Leinwand",5399B,125,150,,,False,27.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=4232&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=4232,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
864,669,Holub Oscar,Reh auf Sommerfrische,1999,Kreide/Papier,291,21,30,52,67,False,19.08.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=864&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=864,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
6153,646,Ulrich Waibel,Himmel und Erde,undatiert,Kreide/Karton,5109,29.5,29,52.7,72.5,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=6153&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=6153,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
5334,1598,Walter Angerer-Niketa,Symmetrie-Asymmetrie 2,2005,"Acryl, Grafit, Kreide, Filzstift/Zeichenkarton",3985,60,48,84,64,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=5334&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=5334,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
1281,553,Dietmar Brehm,ohne Titel,2001,Lithografie/Papier,587,37,48,64,84,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=1281&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=1281,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
21198,887,Gerhard Doppelhammer,Landschaft,undatiert,Acryl/Leinwand,1908,80,80,83.2,83.2,False,26.08.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=21198&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=21198,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:42:24Z
20437,1383,Johann Wolf,Vor der Trockenzeit,2002,Öl/Leinwand,7493,100,160,,,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=20437&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=20437,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
4862,1017,Dieter Josef,New Zealand I,Maori Activity,"2002, Lithografie/Papier",4496,63.5,90.7,74,104,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=4862&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=4862,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
2511,764,Manfred Hebenstreit,ohne Titel (aus der Serie: Orchideen),2006,Lithografie übermalt/Papier,2547,40,50,64,84,False,23.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=2511&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=2511,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
21471,800,Bosch Ulrich,Wien,Café Bräunerhof,"2000, Öl/Leinwand",6978,100,80,,,False,19.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=21471&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=21471,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
9345,715,Christian Ludwig Attersee,Apfelzoo,2014,Radierung/Papier,7043,38.5,53,64,84,False,21.07.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=9345&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=9345,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
21504,894,Johannes Ebner,Küste 1,2019,"Mischtechnik Karton, Acryl/Leinwand",8112,50,50,,,False,17.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=21504&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=21504,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:42:24Z
1277,553,Dietmar Brehm,ohne Titel,1995,Lithografie/Papier,583,30,50,64,84,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=1277&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=1277,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
1345,816,Ernst Hager,Wassertragen,2006,Öl/Leinwand,652,100,100,105,105,False,01.10.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=1345&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=1345,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:42:24Z
16157,1516,Klement Johanna,Stereotyp (Serie),2010,Siebdruck/Papier,1591,72,53,104,74,False,17.07.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=16157&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=16157,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
21093,578,Franz Hitz,ohne Titel,1990,"Öl, Grafit/Papier",6778,50,65,74,104,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=21093&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=21093,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
